campaign_id,customer_id,campaign_type,campaign_date,campaign_cost,delivered,clicked,redeemed,purchase_7d,revenue_7d,purchase_14d,revenue_14d,purchase_30d,revenue_30d,days_to_next_purchase,next_purchase_amount
CAMP00001,C0058,Discount,2024-11-30,19.75,1,1,0,0,0.0,0,0.0,0,0.0,,
CAMP00002,C0461,New Product,2026-07-28,23.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00003,C0777,Win-back,2025-07-21,29.25,0,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00004,C0358,Festival,2025-11-11,25.5,1,1,0,1,1296.54,1,1296.54,1,1296.54,7,1296.54
CAMP00005,C0200,Festival,2026-07-13,32.5,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00006,C0817,New Product,2025-09-12,23.0,1,0,0,0,0.0,1,1659.6,1,1659.6,11,1659.6
CAMP00007,C0542,Birthday,2026-07-14,18.5,1,0,0,1,1793.86,1,1793.86,1,1793.86,4,896.93
CAMP00008,C0523,Festival,2025-06-13,25.5,1,1,0,1,1205.0,1,1205.0,1,1205.0,7,1205.0
CAMP00009,C0801,Loyalty,2025-05-18,18.0,0,0,0,0,0.0,0,0.0,1,1760.26,26,880.13
CAMP00010,C0075,Discount,2025-10-19,25.0,1,1,0,1,5973.86,1,5973.86,1,6640.15,3,985.13
CAMP00011,C0432,Win-back,2025-11-29,27.5,1,1,0,0,0.0,1,1171.89,1,10330.09,11,1171.89
CAMP00012,C0583,New Product,2026-01-23,23.0,0,0,0,0,0.0,0,0.0,1,6578.700000000001,16,1758.65
CAMP00013,C0144,Discount,2025-07-26,23.25,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00014,C0110,New Product,2025-09-20,23.0,1,0,0,0,0.0,1,1564.48,1,1564.48,11,1564.48
CAMP00015,C0014,New Product,2025-10-03,23.0,1,1,0,1,1341.72,1,1341.72,1,1341.72,2,670.86
CAMP00016,C0186,Discount,2026-08-18,21.5,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00017,C0225,Win-back,2026-05-29,31.0,1,1,1,0,0.0,1,886.91,1,1621.1799999999998,11,886.91
CAMP00018,C0351,Loyalty,2024-11-22,14.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00019,C0045,New Product,2025-09-17,23.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00020,C0791,New Product,2025-08-05,23.0,1,1,0,0,0.0,0,0.0,1,950.58,26,950.58
CAMP00021,C0983,Loyalty,2026-07-13,18.0,1,0,0,1,4190.6,1,4190.6,1,4190.6,5,4190.6
CAMP00022,C0778,Birthday,2026-01-08,22.0,1,0,0,0,0.0,1,1044.25,1,1044.25,14,1044.25
CAMP00023,C0148,Win-back,2026-06-07,27.5,1,0,0,0,0.0,1,5611.84,1,5611.84,12,1178.26
CAMP00024,C0008,Discount,2026-08-09,23.25,1,1,1,0,0.0,0,0.0,0,0.0,,
CAMP00025,C0239,Win-back,2025-11-28,31.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00026,C0662,Birthday,2025-01-18,18.5,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00027,C0964,New Product,2025-10-31,23.0,0,0,0,1,2569.8,1,2569.8,1,2569.8,6,1284.9
CAMP00028,C0157,Win-back,2026-04-27,27.5,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00029,C0401,New Product,2025-07-20,23.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00030,C0003,Win-back,2026-03-14,27.5,0,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00031,C0615,Discount,2026-08-06,25.0,1,1,0,1,5666.6,1,5666.6,1,5666.6,3,1416.65
CAMP00032,C0387,Win-back,2026-08-20,32.75,0,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00033,C0889,New Product,2026-03-13,23.0,1,1,0,0,0.0,0,0.0,0,0.0,,
CAMP00034,C0563,Festival,2026-08-23,30.75,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00035,C0076,Festival,2024-08-14,32.5,1,0,0,0,0.0,0,0.0,1,709.52,24,709.52
CAMP00036,C0469,Loyalty,2024-06-02,14.0,1,0,0,0,0.0,0,0.0,1,1879.43,17,1879.43
CAMP00037,C0950,Festival,2026-06-29,32.5,1,0,0,1,1143.26,1,1892.48,1,2934.85,4,1143.26
CAMP00038,C0040,Loyalty,2026-04-30,16.0,1,0,0,0,0.0,0,0.0,1,1302.3,15,651.15
CAMP00039,C0246,Festival,2026-08-04,29.0,0,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00040,C0101,Birthday,2026-06-10,22.0,0,0,0,0,0.0,1,9885.0,1,13702.649999999998,8,1490.36
CAMP00041,C0314,Loyalty,2025-10-19,22.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00042,C0587,Win-back,2024-07-19,27.5,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00043,C0264,Loyalty,2025-01-21,16.0,1,1,1,1,2582.08,1,2582.08,1,2582.08,3,1881.69
CAMP00044,C0747,New Product,2026-08-17,23.0,0,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00045,C0584,Win-back,2025-11-19,29.25,1,1,0,0,0.0,0,0.0,0,0.0,,
CAMP00046,C0124,New Product,2025-02-05,23.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00047,C0979,Discount,2025-08-11,19.75,1,1,0,0,0.0,0,0.0,0,0.0,,
CAMP00048,C0307,Win-back,2026-08-15,27.5,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00049,C0923,Win-back,2024-02-17,27.5,1,0,0,1,2190.48,1,2190.48,1,3557.59,4,1095.24
CAMP00050,C0983,Festival,2026-07-05,30.75,1,0,0,0,0.0,1,4190.6,1,4190.6,13,4190.6
CAMP00051,C0997,Loyalty,2026-07-11,22.0,1,1,0,0,0.0,0,0.0,1,5551.8,19,2775.9
CAMP00052,C0839,Festival,2025-06-22,30.75,1,0,0,1,1739.64,1,1739.64,1,1739.64,5,1739.64
CAMP00053,C0519,Birthday,2025-09-05,18.5,1,1,1,0,0.0,0,0.0,0,0.0,,
CAMP00054,C0425,Birthday,2025-03-31,18.5,1,0,0,0,0.0,0,0.0,1,1425.48,27,712.74
CAMP00055,C0920,Birthday,2026-03-11,18.5,0,0,0,0,0.0,1,2672.62,1,4066.01,8,1336.31
CAMP00056,C0876,Birthday,2025-03-19,22.0,1,0,0,0,0.0,0,0.0,1,3714.8600000000006,16,507.76
CAMP00057,C0652,Festival,2025-02-17,32.5,1,0,0,1,1620.7,1,1620.7,1,2697.83,5,1620.7
CAMP00058,C0050,Loyalty,2026-06-30,16.0,1,0,0,0,0.0,0,0.0,0,0.0,,
CAMP00059,C0571,Festival,2026-07-19,25.5,1,1,0,0,0.0,0,0.0,0,0.0,,
CAMP00060,C0066,New Product,2026-06-28,23.0,1,1,0,0,0.0,0,0.0,0,0.0,,
