experiment_id,customer_id,campaign_type,experiment_date,eligible,treatment_group,campaign_exposed,baseline_30d_purchase_probability,synthetic_incremental_lift_assumption,purchase_7d,revenue_7d,purchase_14d,revenue_14d,purchase_30d,revenue_30d,synthetic_campaign_cost
EXP_BIRTHDAY,C0001,Birthday,2026-08-01,1,control,0,0.59,0.0229,0,0.0,0,0.0,1,506.28,0.0
EXP_DISCOUNT,C0001,Discount,2026-08-01,1,control,0,0.59,0.0321,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0001,Festival,2026-08-01,1,control,0,0.59,0.0413,0,0.0,1,1223.05,1,1728.58,0.0
EXP_LOYALTY,C0001,Loyalty,2026-08-01,1,control,0,0.59,0.0505,1,534.08,1,683.79,1,1437.97,0.0
EXP_NEW_PRODUCT,C0001,New Product,2026-08-01,1,control,0,0.59,0.0597,0,0.0,0,0.0,0,0.0,0.0
EXP_WIN-BACK,C0001,Win-back,2026-08-01,1,treatment,1,0.59,0.0688,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0002,Birthday,2026-08-01,1,control,0,0.3906,0.0211,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0002,Discount,2026-08-01,1,treatment,1,0.3906,0.0295,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0002,Festival,2026-08-01,1,treatment,1,0.3906,0.0379,0,0.0,0,0.0,1,579.0,29.0
EXP_LOYALTY,C0002,Loyalty,2026-08-01,1,treatment,1,0.3906,0.0463,0,0.0,1,422.87,1,660.45,16.0
EXP_NEW_PRODUCT,C0002,New Product,2026-08-01,1,treatment,1,0.3906,0.0548,0,0.0,0,0.0,0,0.0,23.0
EXP_WIN-BACK,C0002,Win-back,2026-08-01,1,treatment,1,0.3906,0.0632,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0003,Birthday,2026-08-01,1,control,0,0.5303,0.0224,0,0.0,0,0.0,1,922.45,0.0
EXP_DISCOUNT,C0003,Discount,2026-08-01,1,treatment,1,0.5303,0.0314,0,0.0,0,0.0,0,0.0,23.25
EXP_FESTIVAL,C0003,Festival,2026-08-01,1,treatment,1,0.5303,0.0403,1,522.48,1,713.71,1,996.88,29.0
EXP_LOYALTY,C0003,Loyalty,2026-08-01,1,control,0,0.5303,0.0493,0,0.0,1,1230.37,1,1715.14,0.0
EXP_NEW_PRODUCT,C0003,New Product,2026-08-01,1,treatment,1,0.5303,0.0582,0,0.0,0,0.0,1,1139.48,23.0
EXP_WIN-BACK,C0003,Win-back,2026-08-01,1,control,0,0.5303,0.0672,1,233.65,1,380.9,1,710.85,0.0
EXP_BIRTHDAY,C0004,Birthday,2026-08-01,1,control,0,0.5641,0.0227,1,695.6,1,973.18,1,1715.04,0.0
EXP_DISCOUNT,C0004,Discount,2026-08-01,1,control,0,0.5641,0.0318,0,0.0,0,0.0,0,0.0,0.0
EXP_FESTIVAL,C0004,Festival,2026-08-01,1,control,0,0.5641,0.0409,0,0.0,1,566.0,1,1164.56,0.0
EXP_LOYALTY,C0004,Loyalty,2026-08-01,1,control,0,0.5641,0.05,1,513.28,1,704.55,1,1378.97,0.0
EXP_NEW_PRODUCT,C0004,New Product,2026-08-01,1,treatment,1,0.5641,0.0591,1,381.63,1,786.77,1,1322.92,23.0
EXP_WIN-BACK,C0004,Win-back,2026-08-01,1,treatment,1,0.5641,0.0681,0,0.0,0,0.0,0,0.0,31.0
EXP_BIRTHDAY,C0005,Birthday,2026-08-01,1,control,0,0.6479,0.0234,0,0.0,0,0.0,0,0.0,0.0
EXP_DISCOUNT,C0005,Discount,2026-08-01,1,treatment,1,0.6479,0.0328,0,0.0,0,0.0,0,0.0,23.25
