campaign_id,customer_id,campaign_date,campaign_type,reward_type,reward_value,campaign_cost,sent,delivered,clicked,redeemed,redemption_date
CAMP00001,C0058,30-11-2024,Discount,Percentage Discount,5,19.75,1,1,1,0,
CAMP00002,C0461,28-07-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00003,C0777,21-07-2025,Win-back,Percentage Discount,15,29.25,1,0,0,0,
CAMP00004,C0358,11-11-2025,Festival,Percentage Discount,10,25.5,1,1,1,0,
CAMP00005,C0200,13-07-2026,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00006,C0817,12-09-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00007,C0542,14-07-2026,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00008,C0523,13-06-2025,Festival,Percentage Discount,10,25.5,1,1,1,0,
CAMP00009,C0801,18-05-2025,Loyalty,Points,150,18,1,0,0,0,
CAMP00010,C0075,19-10-2025,Discount,Percentage Discount,20,25,1,1,1,0,
CAMP00011,C0432,29-11-2025,Win-back,Percentage Discount,10,27.5,1,1,1,0,
CAMP00012,C0583,23-01-2026,New Product,Free Item,1,23,1,0,0,0,
CAMP00013,C0144,26-07-2025,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00014,C0110,20-09-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00015,C0014,03-10-2025,New Product,Free Item,1,23,1,1,1,0,
CAMP00016,C0186,18-08-2026,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00017,C0225,29-05-2026,Win-back,Percentage Discount,20,31,1,1,1,1,01-06-2026
CAMP00018,C0351,22-11-2024,Loyalty,Points,50,14,1,1,0,0,
CAMP00019,C0045,17-09-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00020,C0791,05-08-2025,New Product,Free Item,1,23,1,1,1,0,
CAMP00021,C0983,13-07-2026,Loyalty,Points,150,18,1,1,0,0,
CAMP00022,C0778,08-01-2026,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00023,C0148,07-06-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00024,C0008,09-08-2026,Discount,Percentage Discount,15,23.25,1,1,1,1,18-08-2026
CAMP00025,C0239,28-11-2025,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00026,C0662,18-01-2025,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00027,C0964,31-10-2025,New Product,Free Item,1,23,1,0,0,0,
CAMP00028,C0157,27-04-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00029,C0401,20-07-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00030,C0003,14-03-2026,Win-back,Percentage Discount,10,27.5,1,0,0,0,
CAMP00031,C0615,06-08-2026,Discount,Percentage Discount,20,25,1,1,1,0,
CAMP00032,C0387,20-08-2026,Win-back,Percentage Discount,25,32.75,1,0,0,0,
CAMP00033,C0889,13-03-2026,New Product,Free Item,1,23,1,1,1,0,
CAMP00034,C0563,23-08-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00035,C0076,14-08-2024,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00036,C0469,02-06-2024,Loyalty,Points,50,14,1,1,0,0,
CAMP00037,C0950,29-06-2026,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00038,C0040,30-04-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00039,C0246,04-08-2026,Festival,Percentage Discount,20,29,1,0,0,0,
CAMP00040,C0101,10-06-2026,Birthday,Percentage Discount,20,22,1,0,0,0,
CAMP00041,C0314,19-10-2025,Loyalty,Points,250,22,1,1,0,0,
CAMP00042,C0587,19-07-2024,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00043,C0264,21-01-2025,Loyalty,Points,100,16,1,1,1,1,27-01-2025
CAMP00044,C0747,17-08-2026,New Product,Free Item,1,23,1,0,0,0,
CAMP00045,C0584,19-11-2025,Win-back,Percentage Discount,15,29.25,1,1,1,0,
CAMP00046,C0124,05-02-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00047,C0979,11-08-2025,Discount,Percentage Discount,5,19.75,1,1,1,0,
CAMP00048,C0307,15-08-2026,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00049,C0923,17-02-2024,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00050,C0983,05-07-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00051,C0997,11-07-2026,Loyalty,Points,250,22,1,1,1,0,
CAMP00052,C0839,22-06-2025,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00053,C0519,05-09-2025,Birthday,Percentage Discount,10,18.5,1,1,1,1,10-09-2025
CAMP00054,C0425,31-03-2025,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00055,C0920,11-03-2026,Birthday,Percentage Discount,10,18.5,1,0,0,0,
CAMP00056,C0876,19-03-2025,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00057,C0652,17-02-2025,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00058,C0050,30-06-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00059,C0571,19-07-2026,Festival,Percentage Discount,10,25.5,1,1,1,0,
CAMP00060,C0066,28-06-2026,New Product,Free Item,1,23,1,1,1,0,
CAMP00061,C0075,06-04-2026,Birthday,Percentage Discount,10,18.5,1,1,0,0,
CAMP00062,C0141,31-08-2026,Discount,Percentage Discount,5,19.75,1,1,0,0,
CAMP00063,C0503,14-05-2026,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00064,C0398,07-10-2025,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00065,C0670,07-11-2024,Loyalty,Points,150,18,1,1,0,0,
CAMP00066,C0513,23-01-2026,Win-back,Percentage Discount,15,29.25,1,1,1,1,26-01-2026
CAMP00067,C0088,23-07-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00068,C0962,22-06-2026,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00069,C0158,12-08-2026,Discount,Percentage Discount,5,19.75,1,1,1,0,
CAMP00070,C0476,05-04-2026,Loyalty,Points,50,14,1,0,0,0,
CAMP00071,C0513,24-08-2026,Loyalty,Points,150,18,1,1,1,1,29-08-2026
CAMP00072,C0684,15-08-2026,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00073,C0481,06-10-2024,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00074,C0762,21-02-2026,Festival,Percentage Discount,10,25.5,1,1,0,0,
CAMP00075,C0773,17-03-2025,Birthday,Percentage Discount,20,22,1,1,1,0,
CAMP00076,C0317,12-08-2026,Loyalty,Points,150,18,1,1,0,0,
CAMP00077,C0094,15-01-2025,Birthday,Percentage Discount,20,22,1,1,1,0,
CAMP00078,C0763,09-07-2024,Win-back,Percentage Discount,10,27.5,1,1,0,0,
CAMP00079,C0654,18-05-2024,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00080,C0050,25-05-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00081,C0667,10-08-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00082,C0284,29-06-2026,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00083,C0023,15-09-2025,Festival,Percentage Discount,25,30.75,1,1,1,0,
CAMP00084,C0259,23-05-2026,Birthday,Percentage Discount,20,22,1,1,1,0,
CAMP00085,C0101,26-12-2025,Birthday,Percentage Discount,15,20.25,1,1,0,0,
CAMP00086,C0402,07-06-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00087,C0162,18-08-2026,Birthday,Percentage Discount,15,20.25,1,1,1,1,25-08-2026
CAMP00088,C0827,19-11-2024,Loyalty,Points,150,18,1,1,1,0,
CAMP00089,C0915,17-01-2025,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00090,C0725,21-08-2026,Loyalty,Points,150,18,1,1,0,0,
CAMP00091,C0804,12-09-2025,Festival,Percentage Discount,10,25.5,1,1,0,0,
CAMP00092,C0811,16-04-2026,Birthday,Percentage Discount,15,20.25,1,1,1,0,
CAMP00093,C0237,31-05-2025,Festival,Percentage Discount,20,29,1,1,1,0,
CAMP00094,C0455,29-05-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00095,C0127,13-03-2025,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00096,C0003,18-04-2025,Birthday,Percentage Discount,20,22,1,0,0,0,
CAMP00097,C0539,26-04-2026,Festival,Percentage Discount,25,30.75,1,1,1,1,02-05-2026
CAMP00098,C0472,22-07-2026,Festival,Percentage Discount,20,29,1,1,1,0,
CAMP00099,C0820,08-08-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00100,C0824,15-06-2026,Loyalty,Points,150,18,1,1,0,0,
CAMP00101,C0373,23-10-2024,Loyalty,Points,50,14,1,1,0,0,
CAMP00102,C0251,13-05-2026,Festival,Percentage Discount,15,27.25,1,1,0,0,
CAMP00103,C0143,27-07-2024,Loyalty,Points,250,22,1,1,0,0,
CAMP00104,C0574,24-10-2025,Loyalty,Points,150,18,1,1,1,0,
CAMP00105,C0755,01-03-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00106,C0851,23-02-2025,New Product,Free Item,1,23,1,1,0,0,
CAMP00107,C0153,11-08-2026,Discount,Percentage Discount,15,23.25,1,1,1,1,19-08-2026
CAMP00108,C0539,16-03-2026,Festival,Percentage Discount,10,25.5,1,1,0,0,
CAMP00109,C0376,21-04-2026,Win-back,Percentage Discount,15,29.25,1,1,1,0,
CAMP00110,C0034,07-08-2026,Win-back,Percentage Discount,10,27.5,1,0,0,0,
CAMP00111,C0393,13-02-2024,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00112,C0579,15-06-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00113,C0897,10-05-2024,New Product,Free Item,1,23,1,1,0,0,
CAMP00114,C0844,31-01-2025,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00115,C0009,24-03-2026,Festival,Percentage Discount,30,32.5,1,1,0,0,
CAMP00116,C0098,23-02-2026,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00117,C0374,16-02-2024,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00118,C0984,28-07-2026,Loyalty,Points,150,18,1,1,0,0,
CAMP00119,C0313,21-07-2026,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00120,C0111,13-03-2025,Festival,Percentage Discount,30,32.5,1,1,1,0,
CAMP00121,C0008,26-08-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00122,C0951,28-08-2026,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00123,C0029,17-07-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00124,C0938,02-11-2024,Loyalty,Points,250,22,1,1,0,0,
CAMP00125,C0790,31-08-2026,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00126,C0665,28-04-2025,Festival,Percentage Discount,25,30.75,1,1,0,0,
CAMP00127,C0159,06-06-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00128,C0747,07-07-2026,Win-back,Percentage Discount,25,32.75,1,1,1,0,
CAMP00129,C0472,24-06-2026,Festival,Percentage Discount,30,32.5,1,0,0,0,
CAMP00130,C0108,22-07-2026,Birthday,Percentage Discount,15,20.25,1,1,1,0,
CAMP00131,C0936,24-10-2025,Win-back,Percentage Discount,20,31,1,0,0,0,
CAMP00132,C0776,27-02-2026,New Product,Free Item,1,23,1,1,0,0,
CAMP00133,C0580,07-08-2026,Festival,Percentage Discount,10,25.5,1,1,0,0,
CAMP00134,C0712,17-06-2025,Win-back,Percentage Discount,25,32.75,1,1,0,0,
CAMP00135,C0222,19-02-2024,Birthday,Percentage Discount,15,20.25,1,1,1,1,03-03-2024
CAMP00136,C0647,31-08-2026,New Product,Free Item,1,23,1,0,0,0,
CAMP00137,C0530,19-01-2026,Loyalty,Points,100,16,1,1,0,0,
CAMP00138,C0324,09-06-2026,Festival,Percentage Discount,10,25.5,1,1,0,0,
CAMP00139,C0255,20-12-2025,Discount,Percentage Discount,10,21.5,1,1,0,0,
CAMP00140,C0354,28-07-2026,Discount,Percentage Discount,20,25,1,1,0,0,
CAMP00141,C0328,15-12-2023,Festival,Percentage Discount,20,29,1,1,0,0,
CAMP00142,C0469,06-02-2025,Festival,Percentage Discount,10,25.5,1,1,1,0,
CAMP00143,C0344,18-06-2026,Win-back,Percentage Discount,15,29.25,1,1,0,0,
CAMP00144,C0915,23-08-2025,Birthday,Percentage Discount,10,18.5,1,1,1,0,
CAMP00145,C0462,26-12-2025,Win-back,Percentage Discount,20,31,1,1,0,0,
CAMP00146,C0827,27-05-2024,Discount,Percentage Discount,15,23.25,1,1,0,0,
CAMP00147,C0942,02-06-2026,Birthday,Percentage Discount,20,22,1,1,0,0,
CAMP00148,C0290,26-11-2025,Discount,Percentage Discount,20,25,1,1,1,1,08-12-2025
CAMP00149,C0112,19-08-2025,Birthday,Percentage Discount,20,22,1,1,0,0,
