customer_id,gender,age,city,registration_date
C0001,Female,20,Ranchi,2024-03-16
C0002,Female,31,Patna,2025-05-11
C0003,Male,29,Salt Lake,2023-10-29
C0004,Male,47,Kolkata,2025-07-30
C0005,Female,18,Salt Lake,2024-01-09
C0006,Female,47,New Town,2024-03-18
C0007,Female,43,Siliguri,2026-07-01
C0008,Other,30,Ranchi,2026-07-06
C0009,Male,37,Howrah,2025-09-05
C0010,Female,43,Bhubaneswar,2025-12-12
C0011,Female,31,Salt Lake,2024-01-11
C0012,Female,41,New Town,2026-02-06
C0013,Male,52,Asansol,2023-09-15
C0014,Female,42,Howrah,2025-03-12
C0015,Female,39,Bhubaneswar,2025-12-21
C0016,Female,28,Howrah,2024-01-23
C0017,Female,42,Patna,2024-02-10
C0018,Female,41,Asansol,2024-02-26
C0019,Female,49,Asansol,2026-06-10
C0020,Female,28,Kolkata,2024-05-20
C0021,Female,18,Siliguri,2024-05-07
C0022,Female,51,Howrah,2025-02-03
C0023,Female,50,Siliguri,2024-03-17
C0024,Female,23,New Town,2026-07-05
C0025,Male,52,Salt Lake,2023-12-26
C0026,Female,46,Bhubaneswar,2025-06-17
C0027,Female,22,Siliguri,2025-09-30
C0028,Male,29,New Town,2024-12-16
C0029,Female,36,Howrah,2023-10-21
C0030,Male,40,Ranchi,2023-11-26
C0031,Male,36,Ranchi,2023-09-20
C0032,Female,21,Salt Lake,2023-11-23
C0033,Other,44,Salt Lake,2025-07-14
C0034,Female,35,New Town,2026-06-19
C0035,Female,39,Asansol,2024-12-12
C0036,Female,43,Salt Lake,2024-02-28
C0037,Female,41,New Town,2024-11-06
C0038,Female,30,Salt Lake,2023-10-03
C0039,Female,39,Kolkata,2024-05-10
C0040,Male,57,Howrah,2026-02-24
C0041,Female,36,New Town,2025-06-08
C0042,Female,70,Ranchi,2026-02-20
C0043,Female,37,Patna,2025-01-19
C0044,Female,56,Patna,2024-11-25
C0045,Male,43,Patna,2025-05-19
C0046,Female,37,Asansol,2025-12-05
C0047,Male,50,Salt Lake,2024-09-29
C0048,Female,36,Durgapur,2024-10-26
C0049,Male,50,Asansol,2025-05-29
C0050,Female,42,New Town,2026-05-18
C0051,Male,36,Kolkata,2025-01-27
C0052,Male,30,Siliguri,2026-07-16
C0053,Male,27,Patna,2024-04-22
C0054,Male,30,Bhubaneswar,2023-10-18
C0055,Male,32,Durgapur,2025-11-29
C0056,Male,36,Ranchi,2025-11-05
C0057,Female,41,New Town,2023-11-23
