transaction_id,customer_id,transaction_date,bill_amount,outlet
T00001,C0001,09-07-2024,1298.3,Outlet_11
T00002,C0001,09-07-2024,1298.3,Outlet_11
T00003,C0001,09-07-2024,1298.3,Outlet_11
T00004,C0001,16-07-2024,1287.54,Outlet_02
T00005,C0001,16-07-2024,1287.54,Outlet_02
T00006,C0001,17-09-2024,1823.9,Outlet_12
T00007,C0001,17-09-2024,1823.9,Outlet_12
T00008,C0001,17-09-2024,1823.9,Outlet_12
T00009,C0001,20-09-2024,1257.74,Outlet_02
T00010,C0001,20-09-2024,1257.74,Outlet_02
T00011,C0001,20-09-2024,1257.74,Outlet_02
T00012,C0001,21-01-2025,1016.95,Outlet_14
T00013,C0001,09-04-2025,434.66,Outlet_02
T00014,C0001,11-05-2025,1414.11,Outlet_02
T00015,C0001,11-05-2025,1414.11,Outlet_02
T00016,C0001,23-08-2025,869.38,Outlet_02
T00017,C0001,22-09-2025,809.68,Outlet_02
T00018,C0001,23-10-2025,1250.78,Outlet_02
T00019,C0001,23-10-2025,1250.78,Outlet_02
T00020,C0001,28-10-2025,1162.19,Outlet_01
T00021,C0001,03-12-2025,1135.64,Outlet_02
T00022,C0001,05-12-2025,873.55,Outlet_02
T00023,C0001,27-01-2026,1461.86,Outlet_13
T00024,C0001,27-01-2026,1461.86,Outlet_13
T00025,C0001,02-02-2026,903.07,Outlet_02
T00026,C0001,29-03-2026,2016.26,Outlet_07
T00027,C0001,19-05-2026,1285.64,Outlet_02
T00028,C0001,19-05-2026,1285.64,Outlet_02
T00029,C0001,19-05-2026,1285.64,Outlet_02
T00030,C0001,19-05-2026,1285.64,Outlet_02
T00031,C0001,21-05-2026,1264.32,Outlet_08
T00032,C0001,21-05-2026,1264.32,Outlet_08
T00033,C0001,21-05-2026,1264.32,Outlet_08
T00034,C0001,27-05-2026,1657.16,Outlet_02
T00035,C0001,27-05-2026,1657.16,Outlet_02
T00036,C0001,01-06-2026,967.71,Outlet_02
T00037,C0001,01-06-2026,967.71,Outlet_02
T00038,C0001,02-06-2026,1059.38,Outlet_02
T00039,C0001,02-06-2026,1059.38,Outlet_02
T00040,C0001,03-06-2026,1446.42,Outlet_02
T00041,C0001,03-06-2026,1446.42,Outlet_02
T00042,C0001,23-06-2026,997.95,Outlet_02
T00043,C0001,10-07-2026,1679.22,Outlet_15
T00044,C0002,13-11-2025,794.92,Outlet_11
T00045,C0002,03-01-2026,993.16,Outlet_11
T00046,C0002,04-03-2026,557.89,Outlet_12
T00047,C0002,17-03-2026,794.49,Outlet_11
T00048,C0002,25-03-2026,776.08,Outlet_11
T00049,C0002,05-07-2026,616.98,Outlet_08
T00050,C0002,05-07-2026,616.98,Outlet_08
T00051,C0002,05-07-2026,616.98,Outlet_08
T00052,C0002,05-07-2026,616.98,Outlet_08
T00053,C0002,05-07-2026,616.98,Outlet_08
T00054,C0002,25-07-2026,1037.8,Outlet_11
T00055,C0003,10-01-2024,909.15,Outlet_01
T00056,C0003,11-02-2024,310.55,Outlet_01
T00057,C0003,18-04-2024,480.84,Outlet_01
T00058,C0003,08-09-2024,844.2,Outlet_01
T00059,C0003,31-12-2024,1022.2,Outlet_01
T00060,C0003,31-12-2024,1022.2,Outlet_01
T00061,C0003,01-02-2025,1168.66,Outlet_15
T00062,C0003,01-02-2025,1168.66,Outlet_15
T00063,C0003,15-02-2025,1192.51,Outlet_01
T00064,C0003,15-02-2025,1192.51,Outlet_01
T00065,C0003,04-03-2025,470.66,Outlet_01
T00066,C0003,18-03-2025,1006.03,Outlet_01
T00067,C0003,25-03-2025,1197.23,Outlet_01
T00068,C0003,25-03-2025,1197.23,Outlet_01
T00069,C0003,17-07-2025,1000.7,Outlet_01
T00070,C0003,26-07-2025,955.27,Outlet_01
T00071,C0003,26-07-2025,955.27,Outlet_01
T00072,C0003,27-07-2025,713.36,Outlet_01
T00073,C0003,17-08-2025,811.03,Outlet_01
T00074,C0003,08-09-2025,911.46,Outlet_01
T00075,C0003,08-09-2025,911.46,Outlet_01
T00076,C0003,08-09-2025,911.46,Outlet_01
T00077,C0003,16-09-2025,947.81,Outlet_01
T00078,C0003,26-09-2025,1149.38,Outlet_01
T00079,C0003,22-10-2025,815.85,Outlet_01
T00080,C0003,22-10-2025,815.85,Outlet_01
T00081,C0003,08-11-2025,1104.7,Outlet_01
T00082,C0003,08-11-2025,1104.7,Outlet_01
T00083,C0003,22-11-2025,611.38,Outlet_01
T00084,C0003,26-02-2026,903.68,Outlet_01
T00085,C0003,26-02-2026,903.68,Outlet_01
T00086,C0003,04-05-2026,1083.71,Outlet_01
T00087,C0003,06-07-2026,571.2,Outlet_06
T00088,C0004,10-11-2025,1719.15,Outlet_06
T00089,C0004,30-11-2025,1641.95,Outlet_03
T00090,C0004,30-11-2025,1641.95,Outlet_03
